species,year,w,alpha,in.hull,outlier,total
rthu,2012,39,1.2,1336,48,915
rthu,2012,40,1.2,669,67,481
rthu,2012,41,1.2,444,40,331
rthu,2012,42,1.6,362,43,263
rthu,2012,43,2,218,30,170
rthu,2012,44,2,152,28,107
rthu,2012,45,2.5,130,15,96
rthu,2012,46,1.8,53,27,54
rthu,2012,47,1.7,22,32,35
rthu,2012,48,2.5,65,22,47
rthu,2012,49,3.7,75,17,44
rthu,2012,50,2.3,41,13,37
rthu,2013,0,1.2,533,60,299
rthu,2013,1,1.8,28,16,37
rthu,2013,2,2.1,21,24,34
rthu,2013,3,2.7,42,13,41
rthu,2013,4,1.6,20,29,39
rthu,2013,5,4,45,4,40
rthu,2013,6,3.4,41,10,38
rthu,2013,7,5.1,36,13,37
rthu,2013,8,3.3,87,20,86
rthu,2013,9,1.7,173,28,144
rthu,2013,10,3.3,43,11,38
rthu,2013,11,2.4,27,17,32
rthu,2013,12,4.8,31,11,32
rthu,2013,13,2.7,32,16,41
rthu,2013,14,2.2,60,21,67
rthu,2013,15,1.5,112,13,89
rthu,2013,16,1.4,157,23,118
rthu,2013,17,1.2,236,30,182
rthu,2013,18,1.2,383,21,242
rthu,2013,19,1.2,319,42,229
rthu,2013,20,1.2,690,19,399
rthu,2013,21,1.2,840,31,521
rthu,2013,22,1.2,769,29,471
rthu,2013,23,1.2,1135,39,753
rthu,2013,24,1.2,1312,24,923
rthu,2013,25,1.2,1694,32,1231
rthu,2013,26,1.2,2064,26,1448
rthu,2013,27,1.2,2666,42,1831
rthu,2013,28,1.2,1901,54,1424
rthu,2013,29,1.2,1431,51,1097
rthu,2013,30,1.2,1442,39,1119
rthu,2013,31,1.2,1215,40,968
rthu,2013,32,1.2,1036,34,818
rthu,2013,33,1.2,966,23,748
rthu,2013,34,1.2,1012,42,787
rthu,2013,35,1.2,995,29,756
rthu,2013,36,1.2,910,42,694
rthu,2013,37,1.2,936,44,711
rthu,2013,38,1.2,1009,37,770
rthu,2013,39,1.2,853,36,593
rthu,2013,40,1.2,953,40,689
rthu,2013,41,1.2,1194,32,883
rthu,2013,42,1.2,1254,43,915
rthu,2013,43,1.2,1138,57,811
rthu,2013,44,1.2,1522,33,1092
rthu,2013,45,1.2,1792,77,1255
rthu,2013,46,1.2,1878,29,1278
rthu,2013,47,1.2,1716,72,1216
rthu,2013,48,1.2,2383,66,1595
rthu,2013,49,1.2,2676,37,1696
rthu,2013,50,1.2,1612,60,1079
rthu,2013,51,1.2,2248,60,1482
rthu,2013,52,1.4,1327,238,1032
rthu,2013,53,1.2,977,63,679
rthu,2013,54,1.2,645,50,451
rthu,2013,55,1.2,451,39,332
rthu,2013,56,1.7,262,39,199
rthu,2013,57,2.3,163,17,122
rthu,2013,58,2.6,152,16,119
rthu,2013,59,2.9,95,18,73
rthu,2013,60,1.4,52,30,53
rthu,2013,61,3.7,71,21,42
rthu,2013,62,2.6,77,15,49
rthu,2013,63,3.1,28,24,34
rthu,2014,0,1.2,1591,51,787
rthu,2014,1,5.5,55,9,55
rthu,2014,2,2.1,56,16,53
rthu,2014,3,2,52,17,50
rthu,2014,4,1.7,115,24,95
rthu,2014,5,1.2,230,22,167
rthu,2014,6,1.2,293,18,191
rthu,2014,7,1.2,298,25,218
rthu,2014,8,1.2,480,21,306
rthu,2014,9,1.2,736,20,458
rthu,2014,10,1.8,642,107,425
rthu,2014,11,1.2,947,39,599
rthu,2014,12,1.2,1426,37,905
rthu,2014,13,1.2,1700,22,1197
rthu,2014,14,1.2,2489,13,1707
rthu,2014,15,1.2,3839,29,2553
rthu,2014,16,1.2,3400,19,2201
rthu,2014,17,1.2,2478,51,1697
rthu,2014,18,1.2,2815,42,2057
rthu,2014,19,1.2,2104,43,1534
rthu,2014,20,1.2,1515,48,1209
rthu,2014,21,1.2,1250,46,1002
rthu,2014,22,1.2,1352,39,1092
rthu,2014,23,1.2,1287,39,996
rthu,2014,24,1.2,998,47,782
rthu,2014,25,1.2,1333,49,1053
rthu,2014,26,1.2,1403,37,1057
rthu,2014,27,1.2,1402,33,991
rthu,2014,28,1.2,1258,46,943
rthu,2014,29,1.2,1430,47,1055
rthu,2014,30,1.2,1537,39,1137
rthu,2014,31,1.3,1473,164,1137
rthu,2014,32,1.2,1737,79,1282
rthu,2014,33,1.2,2052,36,1442
rthu,2014,34,1.2,1964,44,1410
rthu,2014,35,1.2,1917,41,1312
rthu,2014,36,1.2,2412,50,1690
rthu,2014,37,1.2,2662,50,1791
rthu,2014,38,1.2,1778,723,1625
rthu,2014,39,1.2,2831,49,1836
rthu,2014,40,1.2,2884,30,1865
rthu,2014,41,1.2,2184,52,1411
rthu,2014,42,1.2,1490,58,1009
rthu,2014,43,1.2,1132,52,770
rthu,2014,44,1.2,716,42,511
rthu,2014,45,1.4,383,44,290
rthu,2014,46,1.4,302,34,228
rthu,2014,47,1.7,268,33,183
rthu,2014,48,2.8,138,26,108
rthu,2014,49,2.6,95,24,85
rthu,2014,50,2.9,78,24,66
rthu,2014,51,1.4,123,27,82
