species,year,w,alpha,in.hull,outlier,total
bchu,2011,49,1.4,23,11,26
bchu,2011,50,5,15,0,14
bchu,2011,51,5,7,0,5
bchu,2011,52,5,3,0,3
bchu,2011,53,5,3,0,3
bchu,2011,54,5,1,0,1
bchu,2011,55,5,1,0,1
bchu,2011,56,5,4,0,4
bchu,2011,57,5,2,0,1
bchu,2012,0,2.3,34,4,26
bchu,2012,1,5,1,0,1
bchu,2012,2,5,3,0,2
bchu,2012,3,5,6,0,6
bchu,2012,4,5,4,0,3
bchu,2012,5,1.5,15,4,14
bchu,2012,6,5.1,26,3,22
bchu,2012,7,1.4,33,10,26
bchu,2012,8,1.9,63,8,52
bchu,2012,9,1.4,86,8,66
bchu,2012,10,1.3,108,10,93
bchu,2012,11,1.2,156,12,114
bchu,2012,12,1.2,132,31,125
bchu,2012,13,1.2,259,13,194
bchu,2012,14,1.2,252,20,196
bchu,2012,15,1.2,304,11,225
bchu,2012,16,1.2,296,44,239
bchu,2012,17,1.2,348,32,294
bchu,2012,18,1.2,227,32,207
bchu,2012,19,1.6,251,31,222
bchu,2012,20,1.3,341,36,268
bchu,2012,21,1.5,203,32,179
bchu,2012,22,1.5,194,31,183
bchu,2012,23,1.5,231,24,189
bchu,2012,24,1.6,187,24,153
bchu,2012,25,1.4,107,46,123
bchu,2012,26,1.6,197,21,161
bchu,2012,27,1.5,174,19,153
bchu,2012,28,1.4,177,24,160
bchu,2012,29,1.5,168,19,148
bchu,2012,30,1.2,195,24,188
bchu,2012,31,1.5,191,20,157
bchu,2012,32,1.7,148,17,130
bchu,2012,33,1.7,168,19,143
bchu,2012,34,1.4,225,26,171
bchu,2012,35,1.5,197,25,153
bchu,2012,36,1.7,183,23,147
bchu,2012,37,1.6,218,27,184
bchu,2012,38,1.4,221,25,170
bchu,2012,39,1.7,138,26,118
bchu,2012,40,1.2,191,27,176
bchu,2012,41,1.4,128,31,123
bchu,2012,42,1.9,107,11,97
bchu,2012,43,1.6,85,15,79
bchu,2012,44,1.6,62,21,66
bchu,2012,45,2.5,44,6,43
bchu,2012,46,1.9,19,11,25
bchu,2012,47,3,11,7,17
bchu,2012,48,5,9,0,8
bchu,2012,49,5,4,0,4
bchu,2012,50,5,1,0,1
bchu,2012,51,5,3,0,3
bchu,2012,52,5,1,0,1
bchu,2012,53,5,1,0,1
