species,year,w,alpha,in.hull,outlier,total
ruhu,2011,17,1.2,172,16,137
ruhu,2011,18,1.3,192,21,164
ruhu,2011,19,1.2,215,16,179
ruhu,2011,20,1.3,192,22,158
ruhu,2011,21,1.3,179,21,143
ruhu,2011,22,1.2,213,23,160
ruhu,2011,23,1.2,219,21,163
ruhu,2011,24,1.5,119,34,100
ruhu,2011,25,1.3,196,20,155
ruhu,2011,26,1.4,221,23,174
ruhu,2011,27,1.5,163,19,136
ruhu,2011,28,1.4,143,19,115
ruhu,2011,29,1.4,169,21,141
ruhu,2011,30,1.7,154,17,124
ruhu,2011,31,1.7,137,16,111
ruhu,2011,32,2.2,169,21,144
ruhu,2011,33,2.3,161,18,127
ruhu,2011,34,2.4,157,17,126
ruhu,2011,35,1.9,186,19,149
ruhu,2011,36,1.4,188,22,155
ruhu,2011,37,1.7,183,20,143
ruhu,2011,38,3.1,180,21,143
ruhu,2011,39,2.6,177,21,139
ruhu,2011,40,1.8,180,20,149
ruhu,2011,41,1.9,182,21,135
ruhu,2011,42,2.3,136,19,109
ruhu,2011,43,1.4,86,49,105
ruhu,2011,44,1.9,133,15,109
ruhu,2011,45,2.7,79,20,77
ruhu,2011,46,1.5,52,24,61
ruhu,2011,47,2.8,74,14,71
ruhu,2011,48,3.2,37,5,34
ruhu,2011,49,4.4,45,3,34
ruhu,2011,50,9.23999999999998,18,4,21
ruhu,2011,51,2.1,12,8,15
ruhu,2011,52,5,12,0,10
ruhu,2011,53,5,10,0,10
ruhu,2011,54,5,5,0,5
ruhu,2011,55,5,2,0,2
ruhu,2011,56,5,4,0,3
ruhu,2011,57,5,6,0,4
ruhu,2011,58,5,2,0,2
ruhu,2012,0,6.39999999999999,19,14,14
ruhu,2012,1,5,5,0,3
ruhu,2012,2,5,1,0,1
ruhu,2012,3,5,2,0,2
ruhu,2012,4,5,1,0,1
ruhu,2012,5,5,2,0,1
ruhu,2012,6,5,5,0,5
ruhu,2012,7,5,9,0,9
ruhu,2012,8,5,6,0,5
ruhu,2012,9,5,7,0,7
ruhu,2012,10,5,15,0,15
ruhu,2012,11,1.7,19,17,30
ruhu,2012,12,1.6,32,14,41
ruhu,2012,13,1.5,31,10,38
ruhu,2012,14,1.6,89,8,82
ruhu,2012,15,1.4,93,11,73
ruhu,2012,16,1.2,148,8,117
ruhu,2012,17,1.2,254,20,197
ruhu,2012,18,1.2,220,24,172
ruhu,2012,19,1.2,211,11,161
ruhu,2012,20,1.2,330,13,254
ruhu,2012,21,1.2,289,23,217
ruhu,2012,22,1.2,230,25,170
ruhu,2012,23,1.2,323,32,264
ruhu,2012,24,1.2,281,34,226
ruhu,2012,25,1.2,281,27,203
ruhu,2012,26,1.3,222,25,183
ruhu,2012,27,1.2,270,25,203
ruhu,2012,28,1.2,256,23,214
ruhu,2012,29,1.3,168,19,135
ruhu,2012,30,1.2,243,18,201
ruhu,2012,31,1.7,224,24,183
ruhu,2012,32,1.2,224,18,177
ruhu,2012,33,1.2,213,19,167
ruhu,2012,34,1.7,198,28,169
ruhu,2012,35,1.5,273,29,231
ruhu,2012,36,1.7,209,31,165
ruhu,2012,37,1.3,258,36,228
ruhu,2012,38,1.5,229,32,204
ruhu,2012,39,1.6,255,31,209
ruhu,2012,40,1.6,247,26,206
ruhu,2012,41,1.2,330,35,253
ruhu,2012,42,1.5,249,30,203
ruhu,2012,43,1.7,236,26,189
ruhu,2012,44,1.4,285,30,221
ruhu,2012,45,1.4,219,25,177
ruhu,2012,46,1.7,170,20,143
ruhu,2012,47,1.7,170,18,135
ruhu,2012,48,1.5,126,15,103
ruhu,2012,49,2.2,99,9,86
ruhu,2012,50,2.5,51,13,50
ruhu,2012,51,2.9,31,10,35
ruhu,2012,52,1.6,15,18,25
ruhu,2012,53,8.59999999999999,14,2,14
ruhu,2012,54,5,7,0,7
ruhu,2012,55,5,6,0,6
ruhu,2012,56,5,3,0,3
ruhu,2012,57,5,2,0,2
ruhu,2012,58,5,1,0,1
ruhu,2012,59,5,4,0,3
ruhu,2012,60,5,3,0,3
ruhu,2012,61,5,5,0,3
ruhu,2012,62,5,7,0,4
ruhu,2012,63,5,5,0,3
ruhu,2013,0,1.7,27,25,33
ruhu,2013,1,5,4,0,3
ruhu,2013,2,5,3,0,3
ruhu,2013,3,5,2,0,2
ruhu,2013,4,5,4,0,4
ruhu,2013,5,5,4,0,2
ruhu,2013,6,2.3,35,5,36
ruhu,2013,7,5.9,12,5,16
ruhu,2013,8,1.4,9,7,13
ruhu,2013,9,4.8,24,8,28
ruhu,2013,10,1.8,20,10,28
ruhu,2013,11,2.2,38,7,38
ruhu,2013,12,1.3,76,7,66
ruhu,2013,13,1.2,137,14,123
ruhu,2013,14,1.2,150,12,126
ruhu,2013,15,1.2,295,10,215
ruhu,2013,16,1.2,234,13,174
ruhu,2013,17,1.2,226,16,184
ruhu,2013,18,1.2,261,14,196
ruhu,2013,19,1.2,347,17,250
ruhu,2013,20,1.2,347,21,263
ruhu,2013,21,1.2,318,19,224
ruhu,2013,22,1.2,419,32,320
ruhu,2013,23,1.2,384,15,282
ruhu,2013,24,1.2,247,23,188
ruhu,2013,25,1.2,280,25,231
ruhu,2013,26,1.5,287,32,231
ruhu,2013,27,1.2,322,32,242
ruhu,2013,28,1.2,219,24,169
ruhu,2013,29,1.2,282,28,227
ruhu,2013,30,1.4,280,31,243
ruhu,2013,31,1.6,264,30,242
ruhu,2013,32,1.8,226,25,197
ruhu,2013,33,1.5,263,32,233
ruhu,2013,34,1.4,337,36,293
ruhu,2013,35,1.5,286,33,242
ruhu,2013,36,1.4,395,46,317
ruhu,2013,37,1.2,358,35,307
ruhu,2013,38,1.3,345,38,284
ruhu,2013,39,1.4,313,49,277
ruhu,2013,40,1.3,336,36,282
ruhu,2013,41,1.4,320,37,279
ruhu,2013,42,1.2,303,41,256
ruhu,2013,43,1.4,267,52,235
ruhu,2013,44,1.2,259,29,224
ruhu,2013,45,1.6,194,35,182
ruhu,2013,46,1.8,183,33,161
ruhu,2013,47,1.9,139,17,119
ruhu,2013,48,1.8,124,13,102
ruhu,2013,49,3.2,55,7,50
ruhu,2013,50,3.6,53,6,44
ruhu,2013,51,2,31,13,35
ruhu,2013,52,2.7,15,13,24
ruhu,2013,53,4.6,14,10,19
ruhu,2013,54,5,9,0,6
ruhu,2013,55,5,6,0,4
ruhu,2013,56,5,8,0,6
ruhu,2013,57,5,3,0,2
ruhu,2013,58,5,2,0,2
ruhu,2013,59,5,2,0,2
ruhu,2014,0,1.9,23,18,26
ruhu,2014,1,5,3,0,2
ruhu,2014,3,5,3,0,3
ruhu,2014,4,5,8,0,5
ruhu,2014,5,5,11,0,11
ruhu,2014,6,1.3,59,7,57
ruhu,2014,7,3.4,28,3,27
ruhu,2014,8,1.8,19,17,34
ruhu,2014,9,1.7,54,7,55
ruhu,2014,10,1.8,72,9,69
ruhu,2014,11,1.2,114,7,108
ruhu,2014,12,1.2,128,11,107
ruhu,2014,13,1.2,280,8,210
ruhu,2014,14,1.2,284,17,210
ruhu,2014,15,1.2,316,13,235
ruhu,2014,16,1.2,424,19,328
ruhu,2014,17,1.2,455,18,351
ruhu,2014,18,1.2,379,22,299
ruhu,2014,19,1.2,405,29,319
ruhu,2014,20,1.2,480,30,358
ruhu,2014,21,1.2,510,42,392
ruhu,2014,22,1.2,357,30,276
ruhu,2014,23,1.2,454,36,368
